0;Câu 0;Cám Ơn Bạn Vì Đã Tải Ứng Dụng;A.YEs;B. Oke;C. YES;D. OKE;C

1;Câu 1;Cho các chất sau: hoa đào, hoa mai, con người, cây cỏ, quần áo…Hãy cho biết vật nào là nhân tạo?;A. Hoa đào;B. Cây cỏ;C. Quần áo;D. Tất cả đáp án trên;C
1;Câu 2; Chọn đáp án đúng nhất;A. Nước cất là chất tinh khiết.;B. Chỉ có 1 cách để biết tính chất của chất;C. Vật thể tự nhiên là do con người tạo ra;D. Nước mưa là chất tinh khiết;A
1;Câu 3; Điền từ còn thiếu vào chỗ trống “Cao su là chất…., có tính chất đàn hồi, chịu được ăn mòi nên được dùng chế tạo lốp xe”;A. Thấm nước;B. Không thấm nước;C. Axit;D. Muối;B
1;Câu 4; Điền từ thích hợp vào chỗ trống“ Thủy ngân là kim loại nặng có ánh bạc, có dạng (1) ở nhiệt độ thường. Thủy ngân thường được sử dụng trong(2) (3) và các thiết bị khoa học khác.”;A.(1) rắn (2) nhiệt độ (3) áp kế;B.(1) lỏng (2) nhiệt kế (3) áp kế;C.(1) khí (2) nhiệt kế (3) áp suất;D. 3 đáp án trên;B
1;Câu 5; Tìm từ sai trong câu sau “Thủy tinh, đôi khi trong dân gian còn được gọi là kính hay kiếng, là một chất lỏng (1) vô định hình đồng nhất, có gốc silicát, thường được pha trộn thêm các tạp chất để có vật chất (2) theo ý muốn. Thân mía gồm các vật thể (3): đường (tên hóa học là saccarozo (4)), nước, xenlulozo…”;A. (1), (2), (4);B. (1), (2), (3);C. (2), (3), (4);D. (1), (2), (3), (4);B
1;Câu 6; Chất nào sau đây được coi là tinh khiết;A. Nước cất;B. Nước mưa;C. Nước lọc;D. Đồ uống có gas;A
1;Câu 7; Chất tinh khiết là chất;A. Chất lẫn ít tạp chất;B. Chất không lẫn tạp chất;C. Chất lẫn nhiều tạp chất;D. Có tính chất thay đổi;B
1;Câu 8; Tính chất nào sau đây có thể quan sát được mà không cần đo hay làm thí nghiệm để biết?;A. Tính tan trong nước;B. Khối lượng riêng;C. Màu sắc;D. Nhiệt độ nóng chảy;C
1;Câu 9; Cách hợp lí để tách muối từ nước biển là:;A. Lọc;B. Bay hơi;C. Chưng cất;D. Để yên thì muối sẽ tự lắng xuống;B
1;Câu 10; Vật thể tự nhiên là;A. Con bò;B. Điện thoại;C. Ti vi;D. Bàn là;A

2;Câu 1; Điền từ còn thiếu vào chỗ trống “Nguyên tử là hạt vô cùng nhỏ và (1) về điện. Nguyên tử gồm hạt nhân mang điện tích dương và vỏ tạo bởi (2) mang (3)”;A. (1) trung hòa (2) hạt nhân (3) điện tích âm;B. (1) trung hòa (2) một hay nhiều electron (3) không mang điện;C. (1) không trung hòa ... (2) một hạt electron  ... (3) điện tích dương;D. (1) trung hòa  (2) một hay nhiều electron  (3) điện tích âm;B
2;Câu 2; Chọn đán án đúng nhất;A. Số p=số e;B. Hạt nhân tạo bởi proton và electron;C. Electron không chuyển động quanh hạt nhân;D. Eletron sắp xếp thành từng lớp;A
2;Câu 3; Điền từ còn thiếu vào chỗ trống “Cao su là chất…., có tính chất đàn hồi, chịu được ăn mòi nên được dùng chế tạo lốp xe”;A. Thấm nước;B. Không thấm nước;C. Axit;D. Muối;B
2;Câu 4; Chọn đáp án sai;A. Khối lượng của hạt nhân được coi là khối lượng của nguyên tử;B. Số p = số e;C. Hạt nhân tạo bởi proton và notron;D. Oxi có số p khác số e;D
2;Câu 5; Đường kính của nguyên tử là;A. 10^-8 cm;B. 10^-9 cm;C. 10^-8 m;D. 10^-9m;A
2;Câu 6; Nguyên tử có khả năng liên kết với nhau. Tại sao? Chọn đáp án đúng;A. Do có electron;B. Do có notron;C. Tự đưng có sẵn;D. Do khối lượng hạt nhân bằng khối lượng nguyên tử;A
2;Câu 7; Vì sao khối lương nguyên tử được coi bằng khối lượng hạt nhân. Chọn đáp án đúng;A. Do proton và notron có cùng khối lượng còn electron có khối lượng rất bé;B. Do số p = số e;C. Do hạt nhân tạo bởi proton và notron;D. Do notron không mang điện;A
2;Câu 8; Trong khoảng không gian giữa hạt nhân và lớp vỏ electron của nguyên tử có những gì?;A. Electron;B. Notron;C. Proton;D. Không có gì;D
2;Câu 9; Hạt nhân được cấu tạo bởi:;A. Notron và electron;B. Proton va electron;C. Proton và notron;D. Electron;C
2;Câu 10; Điền từ vào chỗ trống “Trong tự nhiên, hidro có một người anh em sinh đôi là(1).Nguyên tử(2) còn được gọi là ‘hidro (3)’, chỉ khác có thêm 1 (4)” ;A. 1- đơtriti   2- hidro    3- nhẹ   4- proton ;B. 1- triti   2- hidro   3-nặng     4- electron ;C. 1- doteri    2- doteri   3-nặng   4- notron;D None ;C

3;Câu 1; Có bao nhiêu nguyên tố hóa học:;A. Trên 110 nguyên tố;B. Đúng 110 nguyên tố;C. 111 nguyên tố;D. 100 nguyên tố;A
3;Câu 2; Kí hiệu của nguyên tố Xeci là;A. Cs;B. Sn;C. Ca;D. B;A
3;Câu 3; Khối lượng nguyên tử C là:;A. 1, 9926.10^-24kg;B. 1,9924.10^-27g;C. 1,9925.10^25kg;D. 1,9926.10^-27kg;D
3;Câu 4; Nguyên tử của nguyên tố X có nguyên tử khối gấp 7 lần của nguyên tử nguyên tố hidro, đó là nguyên tử nguyên tố nào. Cho biết số p và số e;A. Liti, số p=số e=3;B. Be, số p=số e= 4;C. Liti, số p=số e=7;D. Natri, số p=số e=11;A
3;Câu 5; Cho nguyên tố O có nguyên tử khối là 16, Mg là 24. Nguyên tử nào nặng hơn;A. Mg nặng hơn O;B. Mg nhẹ hơn O;C. O bằng Mg;D. Tất cả đáp án trên;A
3;Câu 6; Cho nguyên tử của nguyên tố C có 11 proton. Chọn đáp án sai;A. Đấy là nguyên tố Natri;B. Số e là 16 e;C. Nguyên tử khối là 23;D. Stt trong bảng tuần hoàn là 11;B
3;Câu 7; Cho nguyên tử khối của Bari là 137 . Tính khối lượng thực nguyên tố trên.;A. mBa=2,27.10^-22g;B. mBa=2,234.10^-24g;C. mBa=1,345.10^-23kg;D. mBa=2,7298.10^-21g;A
3;Câu 8; Chọn đáp án sai (Hướng dẫn: nguyên tố hóa học là tập hợp những nguyên tử cùng loại, có cùng số p trong hạt nhân);A. số p là số đặc trưng của nguyên tố hóa học;B. nguyên tố hóa học là tập hợp những nguyên tố cùng loại, có cùng số p trong hạt nhân;C. 1 đvC = 1/12 mC;D. Oxi là nguyên tố chiếm gần nửa khối lượng vỏ trái đất;B
3;Câu 9; Cho số khối của nguyên tử nguyên tố X là 39. Biết rằng tổng số hạt nguyên tử là 58. Xác định nguyên tố đó và cho biết số notron;A. Kali, số n= 19;B. Kali, số n=20;C. Ca, số n=19;D. Ca, số n= 20;B
3;Câu 10; Cho điện tích hạt nhân của X là 15+. Biết rằng số hạt mang điện nhiều hơn không mang điện là 14. Xác định nguyên tố và số khối;A. Nguyên tố P và A=30;B. Nguyên tố Si và A= 29;C. Nguyên tố P và A=31;D. Nguyên tố Cl và A=35.5;C

